Date,Confirmed_Cases_Dallas,Confirmed_Cases_Chicago,Confirmed_Cases_Houston
3/1/2020,0.00,0.00,0.00
3/2/2020,0.00,0.00,0.00
3/3/2020,0.00,0.00,0.00
3/4/2020,0.00,1.00,0.00
3/5/2020,0.00,2.00,2.00
3/6/2020,0.00,5.00,3.00
3/7/2020,0.00,8.00,5.00
3/8/2020,0.00,11.00,5.00
3/9/2020,0.00,16.00,6.00
3/10/2020,2.00,27.00,7.00
3/11/2020,2.00,40.00,7.00
3/12/2020,3.00,61.00,8.00
3/13/2020,7.00,93.00,9.00
3/14/2020,8.00,124.00,10.00
3/15/2020,11.00,164.00,10.00
3/16/2020,11.00,241.00,10.00
3/17/2020,11.00,337.00,10.00
3/18/2020,15.00,499.00,10.00
3/19/2020,54.00,684.00,10.00
3/20/2020,74.00,839.00,36.00
3/21/2020,74.00,964.00,36.00
3/22/2020,74.00,1132.00,36.00
3/23/2020,155.00,1421.00,54.00
3/24/2020,169.00,1771.00,79.00
3/25/2020,247.00,2138.00,119.00
3/26/2020,303.00,2551.00,185.00
3/27/2020,367.00,2955.00,203.00
3/28/2020,439.00,3203.00,229.00
3/29/2020,488.00,3486.00,445.00
3/30/2020,549.00,3925.00,526.00
3/31/2020,631.00,4414.00,563.00
4/1/2020,731.00,4875.00,680.00
4/2/2020,831.00,5311.00,847.00
4/3/2020,921.00,5776.00,955.00
4/4/2020,1015.00,6102.00,1106.00
4/5/2020,1112.00,6394.00,1284.00
4/6/2020,1155.00,6976.00,1395.00
4/7/2020,1261.00,7532.00,1809.00
4/8/2020,1324.00,8236.00,2146.00
4/9/2020,1432.00,8810.00,2341.00
4/10/2020,1537.00,9380.00,3047.00
4/11/2020,1644.00,9777.00,3261.00
4/12/2020,1723.00,10118.00,3561.00
4/13/2020,1788.00,10812.00,3629.00
4/14/2020,1788.00,11478.00,3747.00
4/15/2020,1986.00,12109.00,3907.00
4/16/2020,2066.00,12786.00,4097.00
4/17/2020,2190.00,13560.00,4306.00
4/18/2020,2190.00,14094.00,4460.00
4/19/2020,2428.00,14553.00,4653.00
4/20/2020,2428.00,15543.00,4823.00
4/21/2020,2512.00,16416.00,4977.00
4/22/2020,2602.00,17469.00,5143.00
4/23/2020,2683.00,18935.00,5211.00
4/24/2020,2763.00,20009.00,5330.00
4/25/2020,2834.00,20647.00,5482.00
4/26/2020,2909.00,21081.00,5628.00
4/27/2020,3014.00,22238.00,5729.00
4/28/2020,3105.00,23559.00,5827.00
4/29/2020,3240.00,24710.00,5986.00
4/30/2020,3352.00,25984.00,6161.00
5/1/2020,3531.00,27157.00,6356.00
5/2/2020,3718.00,27876.00,6551.00
5/3/2020,3899.00,28340.00,6708.00
5/4/2020,4133.00,29461.00,6838.00
5/5/2020,4370.00,30552.00,6967.00
5/6/2020,4623.00,31520.00,7128.00
5/7/2020,4869.00,32460.00,7244.00
5/8/2020,5120.00,33381.00,7377.00
5/9/2020,5369.00,33901.00,7594.00
5/10/2020,5619.00,34207.00,7803.00
5/11/2020,5870.00,35225.00,7878.00
5/12/2020,6123.00,36165.00,8176.00
5/13/2020,6359.00,37042.00,8416.00
5/14/2020,6602.00,37821.00,8621.00
5/15/2020,6837.00,38790.00,8817.00
5/16/2020,7036.00,39304.00,9050.00
5/17/2020,7250.00,39630.00,9126.00
5/18/2020,7455.00,40573.00,9465.00
5/19/2020,7679.00,41461.00,9635.00
