County_Name,State,Population_1_year_and_over,Confirmed,Deaths,geo_id,median_year_structure_built,Percent_income_spent_on_rent,Percent_Male,median_income,Percent_graduate_or_more,aggregate_time_travel_work,genie_index
Essex County,VT,6156,111,0,50009,1973,28,0.5054,38767,0.066734331,65350,0.4288
Chittenden County,VT,159435,3636,78,50007,1978,32.7,0.4903,66906,0.248220224,1763730,0.4536
Kent County,DE,171020,11548,187,10001,1991,31.4,0.4825,57647,0.104907109,1975260,0.43
Washington County,RI,125220,5521,122,44009,1974,30.3,0.4846,77862,0.234482661,1551355,0.446
Belknap County,NH,59873,2496,79,33001,1977,28.9,0.4919,65834,0.166385557,756695,0.4281
Newport County,RI,82556,3578,6,44005,1963,28.8,0.4922,75463,0.256604034,911115,0.4688
Lamoille County,VT,24952,312,1,50015,1981,29.1,0.4964,54899,0.186281694,309910,0.4693
Tolland County,CT,150684,6255,125,9013,1973,30.5,0.5024,81312,0.185350985,1926600,0.4276
Addison County,VT,36491,527,5,50001,1976,28,0.4946,61875,0.17535854,416400,0.4168
Caledonia County,VT,30330,307,4,50005,1972,30.4,0.5026,47371,0.129599655,339665,0.4238
Nantucket County,MA,10805,990,2,25019,1985,28.9,0.5319,91942,0.29412834,,0.4674
Plymouth County,MA,503679,32246,1104,25023,1968,31.1,0.4867,82081,0.167404494,8068960,0.4468
Barnstable County,MA,212305,7499,303,25001,1975,32.6,0.4776,68048,0.264507022,2223625,0.4585
Cheshire County,NH,75534,1987,9,33005,1969,29.8,0.4888,60148,0.159397789,834445,0.4457
Berkshire County,MA,126680,4081,187,25003,1953,30.3,0.4833,55190,0.187903324,1183185,0.464
Franklin County,MA,70296,1615,95,25011,1960,31.5,0.4887,57307,0.230582406,816510,0.4514
Grafton County,NH,88662,1614,10,33009,1978,28.8,0.4923,61036,0.240366972,924210,0.4769
Carroll County,NH,47261,1268,4,33003,1981,30,0.4994,58139,0.183123436,555800,0.4614
Litchfield County,CT,183016,9191,244,9005,1966,29,0.4944,76438,0.199333815,2484330,0.4412
Grand Isle County,VT,6875,78,0,50013,1978,30.3,0.4938,66111,0.221482098,111715,0.4487
Dukes County,MA,17171,676,0,25007,1982,31.4,0.4794,67535,0.282851875,115810,0.5096
Orleans County,VT,26686,326,5,50019,1975,30.3,0.5022,45664,0.102732794,267325,0.4381
Bennington County,VT,35792,784,3,50003,1970,29.3,0.4906,52251,0.164341761,303035,0.4535
Merrimack County,NH,146622,6092,92,33013,1977,28.9,0.4925,69856,0.186938713,1875910,0.4216
Windham County,VT,43025,709,9,50025,1973,32.4,0.4886,50831,0.194976218,398085,0.4464
Strafford County,NH,125302,4917,47,33017,1975,28.8,0.4894,67805,0.158425673,1682560,0.423
Sullivan County,NH,42774,855,8,33019,1972,28.8,0.4937,59419,0.125010594,485315,0.4215
Bristol County,RI,48708,3251,78,44001,1959,29.8,0.4819,74630,0.26947807,595635,0.4848
Middlesex County,CT,162328,8497,298,9007,1970,30.4,0.4889,81673,0.230589558,2138145,0.4442
Washington County,VT,58236,1042,11,50023,1971,28.9,0.4941,60602,0.220809932,661955,0.4271
Windsor County,VT,54924,743,4,50027,1973,30.4,0.4897,56828,0.207423862,588600,0.4669
Rockingham County,NH,299751,14289,164,33015,1980,28.3,0.4952,85619,0.219275876,4721855,0.4214
Windham County,CT,115888,7402,109,9015,1968,31,0.4963,62553,0.116464357,1430270,0.4143
New London County,CT,268304,15086,325,9011,1967,29.5,0.5007,69411,0.185127951,3080400,0.4425
Orange County,VT,28650,392,1,50017,1975,30.4,0.4968,56584,0.156464634,369950,0.4051
Coos County,NH,31889,983,21,33007,1967,28.2,0.5269,45386,0.078666376,281820,0.4294
Rutland County,VT,59192,673,9,50021,1969,30.7,0.4906,52635,0.139038673,588680,0.4286
Hampden County,MA,464391,33547,1138,25013,1957,32.6,0.4825,52205,0.123790452,4612245,0.4682
Essex County,MA,767920,71834,1862,25009,1956,31.5,0.4819,73533,0.196281465,10959275,0.4775
Bristol County,MA,551693,45439,1242,25005,1960,29,0.4842,62514,0.129335265,7365095,0.4562
