date,confirmed
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,0.00
20,0.00
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,2.00
50,2.00
51,3.00
52,7.00
53,8.00
54,11.00
55,11.00
56,11.00
57,15.00
58,54.00
59,74.00
60,74.00
61,74.00
62,155.00
63,169.00
64,247.00
65,303.00
66,367.00
67,439.00
68,488.00
69,549.00
70,631.00
71,731.00
72,831.00
73,921.00
74,1015.00
75,1112.00
76,1155.00
77,1261.00
78,1324.00
79,1432.00
80,1537.00
81,1644.00
82,1723.00
83,1788.00
84,1788.00
85,1986.00
86,2066.00
87,2190.00
88,2190.00
89,2428.00
90,2428.00
91,2512.00
92,2602.00
93,2683.00
94,2763.00
95,2834.00
96,2909.00
97,3014.00
98,3105.00
99,3240.00
100,3352.00
101,3531.00
102,3718.00
103,3899.00
104,4133.00
105,4370.00
106,4623.00
107,4869.00
108,5120.00
109,5369.00
110,5619.00
111,5870.00
112,6123.00
113,6359.00
114,6602.00
115,6837.00
116,7036.00
117,7250.00
118,7455.00
119,7679.00
120,7904.00
121,7904.00
122,8273.00
123,8477.00
124,8649.00
125,8827.00
126,8998.00
127,9188.00
128,9385.00
129,9587.00
130,9787.00
131,10006.00
132,10234.00
133,10462.00
134,10719.00
135,10958.00
136,11243.00
137,11541.00
138,11830.00
139,12093.00
140,12347.00
141,12645.00
142,12945.00
143,13257.00
144,13585.00
145,13930.00
146,14232.00
147,14537.00
148,14843.00
149,15256.00
150,15648.00
151,16042.00
152,16437.00
153,16845.00
154,17299.00
155,17744.00
156,18135.00
157,18538.00
158,19034.00
159,19595.00
160,20165.00
161,20737.00
162,21338.00
163,21882.00
164,22590.00
165,23675.00
166,24778.00
167,25840.00
168,27054.00
169,28131.00
170,29160.00
171,30361.00
172,31525.00
173,32626.00
174,33800.00
175,34914.00
176,35914.00
177,36969.00
178,37996.00
179,39191.00
180,40222.00
181,41266.00
182,42292.00
183,43026.00
184,43439.00
185,44087.00
186,44746.00
187,46013.00
188,46813.00
189,47239.00
190,48028.00
191,48732.00
192,49269.00
193,49976.00
194,49976.00
195,51108.00
196,51490.00
197,52131.00
198,52639.00
199,52869.00
200,53291.00
201,53831.00
202,54674.00
203,55255.00
204,55553.00
205,55787.00
206,56428.00
207,57313.00
208,58067.00
209,63428.00
210,65278.00
211,66065.00
212,66464.00
213,66772.00
214,67486.00
215,68572.00
216,68904.00
217,69086.00
218,69303.00
219,69881.00
220,70100.00
221,70376.00
222,70810.00
223,71170.00
224,71630.00
225,72252.00
226,72610.00
227,72860.00
228,73055.00
229,73453.00
230,73700.00
231,73961.00
232,74100.00
233,74476.00
234,74628.00
235,74887.00
236,75052.00
237,75208.00
238,75648.00
239,75838.00
240,76149.00
241,76607.00
242,76962.00
243,77118.00
244,77889.00
245,78205.00
246,78377.00
247,78723.00
248,79426.00
249,80605.00
250,80978.00
251,81175.00
252,81372.00
253,82161.00
254,82410.00
255,82410.00
256,82918.00
257,83178.00
258,83795.00
259,84245.00
260,84491.00
261,84834.00
262,85032.00
263,85451.00
264,85911.00
265,86329.00
266,86775.00
267,87381.00
268,87835.00
269,88372.00
270,88834.00
271,89433.00
272,89987.00
273,90318.00
274,90790.00
275,91313.00
276,91664.00
277,92197.00
278,92845.00
279,93548.00
280,93939.00
281,94358.00
282,94837.00
283,95402.00
284,96072.00
285,96694.00
286,97398.00
287,97875.00
288,98473.00
289,99160.00
290,99761.00
291,100628.00
292,101282.00
293,102089.00
294,103184.00
295,104451.00
296,105377.00
297,105788.00
298,106287.00
299,107741.00
300,109022.00
301,110717.00
302,111174.00
303,111960.00
304,113764.00
305,115410.00
306,117151.00
307,118962.00
308,119483.00
309,120999.00
310,122184.00
311,122184.00
312,122184.00
313,122923.00
314,126006.00
315,126690.00
316,127786.00
317,129193.00
318,130830.00
319,131479.00
320,132890.00
321,134677.00
322,136283.00
323,137143.00
324,138233.00
325,139950.00
326,141303.00
327,141972.00
328,144523.00
329,146042.00
330,147591.00
331,149533.00
332,149533.00
333,149533.00
334,149533.00
335,172726.00
336,174540.00
337,176906.00
338,179418.00
339,179418.00
340,179418.00
341,180806.00
342,180806.00
343,188123.00
344,189252.00
345,191544.00
346,193318.00
347,193318.00
348,193318.00
349,200011.00
350,201581.00
351,204374.00
352,206802.00
353,206802.00
354,211779.00
355,214973.00
356,217219.00
357,219086.00
358,222635.00
359,225629.00
360,227622.00
361,230439.00
362,233248.00
363,234625.00
364,234625.00
365,236214.00
366,239683.00
367,241661.00
368,243726.00
369,245646.00
370,246820.00
