Code,County,State,code2,date,confirmed,deaths
48201,Harris County,TX,48,1/22/2020,0,0
48201,Harris County,TX,48,1/23/2020,0,0
48201,Harris County,TX,48,1/24/2020,0,0
48201,Harris County,TX,48,1/25/2020,0,0
48201,Harris County,TX,48,1/26/2020,0,0
48201,Harris County,TX,48,1/27/2020,0,0
48201,Harris County,TX,48,1/28/2020,0,0
48201,Harris County,TX,48,1/29/2020,0,0
48201,Harris County,TX,48,1/30/2020,0,0
48201,Harris County,TX,48,1/31/2020,0,0
48201,Harris County,TX,48,2/1/2020,0,0
48201,Harris County,TX,48,2/2/2020,0,0
48201,Harris County,TX,48,2/3/2020,0,0
48201,Harris County,TX,48,2/4/2020,0,0
48201,Harris County,TX,48,2/5/2020,0,0
48201,Harris County,TX,48,2/6/2020,0,0
48201,Harris County,TX,48,2/7/2020,0,0
48201,Harris County,TX,48,2/8/2020,0,0
48201,Harris County,TX,48,2/9/2020,0,0
48201,Harris County,TX,48,2/10/2020,0,0
48201,Harris County,TX,48,2/11/2020,0,0
48201,Harris County,TX,48,2/12/2020,0,0
48201,Harris County,TX,48,2/13/2020,0,0
48201,Harris County,TX,48,2/14/2020,0,0
48201,Harris County,TX,48,2/15/2020,0,0
48201,Harris County,TX,48,2/16/2020,0,0
48201,Harris County,TX,48,2/17/2020,0,0
48201,Harris County,TX,48,2/18/2020,0,0
48201,Harris County,TX,48,2/19/2020,0,0
48201,Harris County,TX,48,2/20/2020,0,0
48201,Harris County,TX,48,2/21/2020,0,0
48201,Harris County,TX,48,2/22/2020,0,0
48201,Harris County,TX,48,2/23/2020,0,0
48201,Harris County,TX,48,2/24/2020,0,0
48201,Harris County,TX,48,2/25/2020,0,0
48201,Harris County,TX,48,2/26/2020,0,0
48201,Harris County,TX,48,2/27/2020,0,0
48201,Harris County,TX,48,2/28/2020,0,0
48201,Harris County,TX,48,2/29/2020,0,0
48201,Harris County,TX,48,3/1/2020,0,0
48201,Harris County,TX,48,3/2/2020,0,0
48201,Harris County,TX,48,3/3/2020,0,0
48201,Harris County,TX,48,3/4/2020,0,0
48201,Harris County,TX,48,3/5/2020,2,0
48201,Harris County,TX,48,3/6/2020,3,0
48201,Harris County,TX,48,3/7/2020,5,0
48201,Harris County,TX,48,3/8/2020,5,0
48201,Harris County,TX,48,3/9/2020,6,0
48201,Harris County,TX,48,3/10/2020,7,0
48201,Harris County,TX,48,3/11/2020,7,0
48201,Harris County,TX,48,3/12/2020,8,0
48201,Harris County,TX,48,3/13/2020,9,0
48201,Harris County,TX,48,3/14/2020,10,0
48201,Harris County,TX,48,3/15/2020,10,0
48201,Harris County,TX,48,3/16/2020,10,0
48201,Harris County,TX,48,3/17/2020,10,0
48201,Harris County,TX,48,3/18/2020,10,0
48201,Harris County,TX,48,3/19/2020,10,0
48201,Harris County,TX,48,3/20/2020,36,1
48201,Harris County,TX,48,3/21/2020,36,1
48201,Harris County,TX,48,3/22/2020,36,1
48201,Harris County,TX,48,3/23/2020,54,1
48201,Harris County,TX,48,3/24/2020,79,1
48201,Harris County,TX,48,3/25/2020,119,1
48201,Harris County,TX,48,3/26/2020,185,2
48201,Harris County,TX,48,3/27/2020,203,2
48201,Harris County,TX,48,3/28/2020,229,2
48201,Harris County,TX,48,3/29/2020,445,3
48201,Harris County,TX,48,3/30/2020,526,4
48201,Harris County,TX,48,3/31/2020,563,4
48201,Harris County,TX,48,4/1/2020,680,6
48201,Harris County,TX,48,4/2/2020,847,6
48201,Harris County,TX,48,4/3/2020,955,8
48201,Harris County,TX,48,4/4/2020,1106,13
48201,Harris County,TX,48,4/5/2020,1284,17
48201,Harris County,TX,48,4/6/2020,1395,20
48201,Harris County,TX,48,4/7/2020,1809,22
48201,Harris County,TX,48,4/8/2020,2146,23
48201,Harris County,TX,48,4/9/2020,2341,31
48201,Harris County,TX,48,4/10/2020,3047,34
48201,Harris County,TX,48,4/11/2020,3261,40
48201,Harris County,TX,48,4/12/2020,3561,41
48201,Harris County,TX,48,4/13/2020,3629,41
48201,Harris County,TX,48,4/14/2020,3747,46
48201,Harris County,TX,48,4/15/2020,3907,52
48201,Harris County,TX,48,4/16/2020,4097,58
48201,Harris County,TX,48,4/17/2020,4306,63
48201,Harris County,TX,48,4/18/2020,4460,67
48201,Harris County,TX,48,4/19/2020,4653,71
48201,Harris County,TX,48,4/20/2020,4823,75
48201,Harris County,TX,48,4/21/2020,4977,78
48201,Harris County,TX,48,4/22/2020,5143,79
48201,Harris County,TX,48,4/23/2020,5211,80
48201,Harris County,TX,48,4/24/2020,5330,82
48201,Harris County,TX,48,4/25/2020,5482,84
48201,Harris County,TX,48,4/26/2020,5628,89
48201,Harris County,TX,48,4/27/2020,5729,93
48201,Harris County,TX,48,4/28/2020,5827,98
48201,Harris County,TX,48,4/29/2020,5986,103
48201,Harris County,TX,48,4/30/2020,6161,109
48201,Harris County,TX,48,5/1/2020,6356,114
48201,Harris County,TX,48,5/2/2020,6551,122
48201,Harris County,TX,48,5/3/2020,6708,129
48201,Harris County,TX,48,5/4/2020,6838,133
48201,Harris County,TX,48,5/5/2020,6967,140
48201,Harris County,TX,48,5/6/2020,7128,144
48201,Harris County,TX,48,5/7/2020,7244,150
48201,Harris County,TX,48,5/8/2020,7377,154
48201,Harris County,TX,48,5/9/2020,7594,160
48201,Harris County,TX,48,5/10/2020,7803,168
48201,Harris County,TX,48,5/11/2020,7878,172
48201,Harris County,TX,48,5/12/2020,8176,179
48201,Harris County,TX,48,5/13/2020,8416,183
48201,Harris County,TX,48,5/14/2020,8621,188
48201,Harris County,TX,48,5/15/2020,8817,193
48201,Harris County,TX,48,5/16/2020,9050,199
48201,Harris County,TX,48,5/17/2020,9126,204
48201,Harris County,TX,48,5/18/2020,9465,204
48201,Harris County,TX,48,5/19/2020,9635,205
48201,Harris County,TX,48,5/20/2020,9859,207
48201,Harris County,TX,48,5/21/2020,10095,210
48201,Harris County,TX,48,5/22/2020,10283,216
48201,Harris County,TX,48,5/23/2020,10526,217
48201,Harris County,TX,48,5/24/2020,10770,219
48201,Harris County,TX,48,5/25/2020,10921,220
48201,Harris County,TX,48,5/26/2020,10995,221
48201,Harris County,TX,48,5/27/2020,11281,221
48201,Harris County,TX,48,5/28/2020,11542,223
48201,Harris County,TX,48,5/29/2020,11770,224
48201,Harris County,TX,48,5/30/2020,12009,228
48201,Harris County,TX,48,5/31/2020,12220,231
48201,Harris County,TX,48,6/1/2020,12276,232
48201,Harris County,TX,48,6/2/2020,12664,235
48201,Harris County,TX,48,6/3/2020,13027,236
48201,Harris County,TX,48,6/4/2020,13268,241
48201,Harris County,TX,48,6/5/2020,13603,247
48201,Harris County,TX,48,6/6/2020,13940,253
48201,Harris County,TX,48,6/7/2020,14423,259
48201,Harris County,TX,48,6/8/2020,14586,261
48201,Harris County,TX,48,6/9/2020,14918,262
48201,Harris County,TX,48,6/10/2020,15238,262
48201,Harris County,TX,48,6/11/2020,15552,267
48201,Harris County,TX,48,6/12/2020,15864,267
48201,Harris County,TX,48,6/13/2020,16188,271
48201,Harris County,TX,48,6/14/2020,16568,275
48201,Harris County,TX,48,6/15/2020,16778,275
48201,Harris County,TX,48,6/16/2020,17282,284
48201,Harris County,TX,48,6/17/2020,17707,289
48201,Harris County,TX,48,6/18/2020,18157,298
48201,Harris County,TX,48,6/19/2020,18552,305
48201,Harris County,TX,48,6/20/2020,19739,311
48201,Harris County,TX,48,6/21/2020,20874,322
48201,Harris County,TX,48,6/22/2020,21053,325
48201,Harris County,TX,48,6/23/2020,23047,332
48201,Harris County,TX,48,6/24/2020,24421,335
48201,Harris County,TX,48,6/25/2020,25786,346
48201,Harris County,TX,48,6/26/2020,27017,353
48201,Harris County,TX,48,6/27/2020,28255,361
48201,Harris County,TX,48,6/28/2020,29163,369
48201,Harris County,TX,48,6/29/2020,29276,371
48201,Harris County,TX,48,6/30/2020,30729,376
48201,Harris County,TX,48,7/1/2020,31422,378
48201,Harris County,TX,48,7/2/2020,32859,384
48201,Harris County,TX,48,7/3/2020,34108,387
48201,Harris County,TX,48,7/4/2020,35316,395
48201,Harris County,TX,48,7/5/2020,35913,400
48201,Harris County,TX,48,7/6/2020,36597,400
48201,Harris County,TX,48,7/7/2020,37776,401
48201,Harris County,TX,48,7/8/2020,39311,407
48201,Harris County,TX,48,7/9/2020,40012,411
48201,Harris County,TX,48,7/10/2020,40919,423
48201,Harris County,TX,48,7/11/2020,42000,439
48201,Harris County,TX,48,7/12/2020,43939,455
48201,Harris County,TX,48,7/13/2020,45368,458
48201,Harris County,TX,48,7/14/2020,47369,466
48201,Harris County,TX,48,7/15/2020,49027,473
48201,Harris County,TX,48,7/16/2020,50370,491
48201,Harris County,TX,48,7/17/2020,51969,508
48201,Harris County,TX,48,7/18/2020,53555,526
48201,Harris County,TX,48,7/19/2020,54806,532
48201,Harris County,TX,48,7/20/2020,55769,535
48201,Harris County,TX,48,7/21/2020,57095,544
48201,Harris County,TX,48,7/22/2020,58480,560
48201,Harris County,TX,48,7/23/2020,59924,575
48201,Harris County,TX,48,7/24/2020,61416,596
48201,Harris County,TX,48,7/25/2020,62619,614
48201,Harris County,TX,48,7/26/2020,64113,636
48201,Harris County,TX,48,7/27/2020,65349,1100
48201,Harris County,TX,48,7/28/2020,66195,1100
48201,Harris County,TX,48,7/29/2020,67660,1182
48201,Harris County,TX,48,7/30/2020,69126,1206
48201,Harris County,TX,48,7/31/2020,70850,1258
48201,Harris County,TX,48,8/1/2020,72964,1288
48201,Harris County,TX,48,8/2/2020,72964,1288
48201,Harris County,TX,48,8/3/2020,76642,1318
48201,Harris County,TX,48,8/4/2020,78105,1367
48201,Harris County,TX,48,8/5/2020,79543,1409
48201,Harris County,TX,48,8/6/2020,80914,1459
48201,Harris County,TX,48,8/7/2020,81919,1514
48201,Harris County,TX,48,8/8/2020,83183,1562
48201,Harris County,TX,48,8/9/2020,84600,1575
48201,Harris County,TX,48,8/10/2020,85757,1583
48201,Harris County,TX,48,8/11/2020,86563,1616
48201,Harris County,TX,48,8/12/2020,87505,1679
48201,Harris County,TX,48,8/13/2020,88494,1713
48201,Harris County,TX,48,8/14/2020,89425,1771
48201,Harris County,TX,48,8/15/2020,90574,1812
48201,Harris County,TX,48,8/16/2020,91698,1829
48201,Harris County,TX,48,8/17/2020,92253,1838
48201,Harris County,TX,48,8/18/2020,92944,1875
48201,Harris County,TX,48,8/19/2020,93872,1920
48201,Harris County,TX,48,8/20/2020,94676,1953
48201,Harris County,TX,48,8/21/2020,95631,1978
48201,Harris County,TX,48,8/22/2020,96658,2011
48201,Harris County,TX,48,8/23/2020,97745,2028
48201,Harris County,TX,48,8/24/2020,98506,2030
48201,Harris County,TX,48,8/25/2020,99290,2072
48201,Harris County,TX,48,8/26/2020,100171,2106
48201,Harris County,TX,48,8/27/2020,101077,2140
48201,Harris County,TX,48,8/28/2020,101670,2153
48201,Harris County,TX,48,8/29/2020,103088,2177
48201,Harris County,TX,48,8/30/2020,104649,2188
48201,Harris County,TX,48,8/31/2020,105757,2192
48201,Harris County,TX,48,9/1/2020,106595,2208
48201,Harris County,TX,48,9/2/2020,107490,2247
48201,Harris County,TX,48,9/3/2020,108085,2281
48201,Harris County,TX,48,9/4/2020,108819,2300
48201,Harris County,TX,48,9/5/2020,109834,2327
48201,Harris County,TX,48,9/6/2020,110762,2335
48201,Harris County,TX,48,9/7/2020,111525,2335
48201,Harris County,TX,48,9/8/2020,111525,2342
48201,Harris County,TX,48,9/9/2020,112039,2363
48201,Harris County,TX,48,9/10/2020,112762,2385
48201,Harris County,TX,48,9/11/2020,113504,2395
48201,Harris County,TX,48,9/12/2020,114761,2414
48201,Harris County,TX,48,9/13/2020,115149,2420
48201,Harris County,TX,48,9/14/2020,116172,2423
48201,Harris County,TX,48,9/15/2020,117568,2440
48201,Harris County,TX,48,9/16/2020,120336,2458
48201,Harris County,TX,48,9/17/2020,120771,2470
48201,Harris County,TX,48,9/18/2020,121628,2483
48201,Harris County,TX,48,9/19/2020,122445,2498
48201,Harris County,TX,48,9/20/2020,123264,2504
48201,Harris County,TX,48,9/21/2020,123817,2505
48201,Harris County,TX,48,9/22/2020,137946,2518
48201,Harris County,TX,48,9/23/2020,138473,2535
48201,Harris County,TX,48,9/24/2020,139017,2548
48201,Harris County,TX,48,9/25/2020,139681,2555
48201,Harris County,TX,48,9/26/2020,140532,2572
48201,Harris County,TX,48,9/27/2020,140868,2576
48201,Harris County,TX,48,9/28/2020,141353,2576
48201,Harris County,TX,48,9/29/2020,141707,2588
48201,Harris County,TX,48,9/30/2020,142315,2599
48201,Harris County,TX,48,10/1/2020,142681,2607
48201,Harris County,TX,48,10/2/2020,143530,2615
48201,Harris County,TX,48,10/3/2020,146234,2624
48201,Harris County,TX,48,10/4/2020,147298,2626
48201,Harris County,TX,48,10/5/2020,147808,2626
48201,Harris County,TX,48,10/6/2020,148235,2632
48201,Harris County,TX,48,10/7/2020,148769,2647
48201,Harris County,TX,48,10/8/2020,149394,2657
48201,Harris County,TX,48,10/9/2020,149771,2668
48201,Harris County,TX,48,10/10/2020,150176,2675
48201,Harris County,TX,48,10/11/2020,150626,2682
48201,Harris County,TX,48,10/12/2020,151161,2682
48201,Harris County,TX,48,10/13/2020,151463,2689
48201,Harris County,TX,48,10/14/2020,151880,2698
